Sample;Tumor
TCGA-D8-A1XZ;T1
TCGA-D8-A1Y0;T1
TCGA-D8-A1Y1;T3
TCGA-D8-A1Y2;T2
TCGA-D8-A1Y3;T2
TCGA-D8-A27E;T1
TCGA-D8-A27F;T2
TCGA-D8-A27G;T2
TCGA-D8-A27H;T2
TCGA-D8-A27I;T1
TCGA-D8-A27K;T2
TCGA-D8-A27L;T1
TCGA-D8-A27M;T1
TCGA-D8-A27N;T2
TCGA-D8-A27P;T1
TCGA-D8-A27R;T2
TCGA-D8-A27T;T2
TCGA-D8-A27V;T2
TCGA-D8-A27W;T4
TCGA-E2-A1IE;T2
TCGA-E2-A1IF;T1
TCGA-E2-A1IG;T2
TCGA-E2-A1IH;T1
TCGA-E2-A1II;T1
TCGA-E2-A1IJ;T1
TCGA-E2-A1IK;T1
TCGA-E2-A1IL;T1
TCGA-E2-A1IN;T1
TCGA-E2-A1IO;T1
TCGA-E2-A1IP;T2
TCGA-E2-A1IU;T1
TCGA-E2-A1L6;T1
TCGA-E2-A1L7;T2
TCGA-E2-A1L8;T2
TCGA-E2-A1L9;T1
TCGA-E2-A1LA;T1
TCGA-E2-A1LB;T2
TCGA-E2-A1LG;T2
TCGA-E2-A1LH;T1
TCGA-E2-A1LI;T2
TCGA-E2-A1LL;T3
TCGA-E2-A1LS;T1
TCGA-E9-A1N3;T1
TCGA-E9-A1N4;T2
TCGA-E9-A1N5;T2
TCGA-E9-A1N6;T2
TCGA-E9-A1N8;T2
TCGA-E9-A1N9;T2
TCGA-E9-A1NA;T2
TCGA-E9-A1NC;T2
TCGA-E9-A1ND;T2
TCGA-E9-A1NE;T2
TCGA-E9-A1NF;T2
TCGA-E9-A1NG;T2
TCGA-E9-A1NH;T2
TCGA-E9-A1NI;T2
TCGA-E9-A1QZ;T2
TCGA-E9-A1R0;T1
TCGA-E9-A1R2;T2
TCGA-E9-A1R3;T2
TCGA-E9-A1R4;T1
TCGA-E9-A1R5;T1
TCGA-E9-A1R6;T2
TCGA-E9-A1R7;T2
TCGA-E9-A1RA;T1
TCGA-E9-A1RB;T2
TCGA-E9-A1RC;T4
TCGA-E9-A1RD;T2
TCGA-E9-A1RE;T2
TCGA-E9-A1RF;T2
TCGA-E9-A1RG;T1
TCGA-E9-A1RH;T2
TCGA-E9-A1RI;T1
TCGA-E9-A226;T2
TCGA-E9-A227;T2
TCGA-E9-A228;T2
TCGA-E9-A229;T1
TCGA-E9-A22A;T2
TCGA-E9-A22B;T1
TCGA-E9-A22D;T2
TCGA-E9-A22E;T2
TCGA-E9-A22G;T2
TCGA-E9-A22H;T2
TCGA-E9-A243;T2
TCGA-E9-A244;T2
TCGA-E9-A245;T2
TCGA-E9-A247;T1
TCGA-E9-A248;T2
TCGA-E9-A249;T2
TCGA-E9-A24A;T1
TCGA-EW-A1IW;T2
TCGA-EW-A1IX;T1
TCGA-EW-A1IY;T1
TCGA-EW-A1IZ;T2
TCGA-EW-A1J1;T2
TCGA-EW-A1J2;T1
TCGA-EW-A1J3;T1
TCGA-EW-A1J5;T3
TCGA-EW-A1J6;T1
TCGA-EW-A1OV;T2
TCGA-EW-A1OW;T2
TCGA-EW-A1OX;T2
TCGA-EW-A1OY;T2
TCGA-EW-A1OZ;T2
TCGA-EW-A1P0;T2
TCGA-EW-A1P1;T2
TCGA-EW-A1P3;T2
TCGA-EW-A1P4;T2
TCGA-EW-A1P5;T2
TCGA-EW-A1P6;T2
TCGA-EW-A1P7;T2
TCGA-EW-A1PA;T2
TCGA-EW-A1PB;T3
TCGA-EW-A1PD;T1
TCGA-EW-A1PE;T1
TCGA-EW-A1PF;T1
TCGA-EW-A1PG;T2
TCGA-EW-A1PH;T1
